year/make/model,price,value,engine,trans,trim,group,horsepower,mpg,
2018 Acura RDX,"$36,000 ",Excellent,Engine: V6 3.5 Liter,Sequential SportShift 6 Speed Automatic Mode Select with Manual Mode,Base FWD,Premium Mid-Size Utility,279@6200,20 City /  28 Hwy,
2018 Acura NSX,"$156,000 ",Average,Engine: V6 Turbo 3.5 Liter,9 Speed Automatic,Base Coupe,Luxury Performance Car,573@6500,21 City /  22 Hwy,
2018 Acura MDX,"$44,200 ",Below Average,Engine: V6 3.5 Liter,Sequential SportShift 9 Speed Automatic Mode Select with Manual Mode,Base FWD,Premium Full-Size Utility,290@6200,19 City /  27 Hwy,
2018 Acura TLX,"$33,000 ",Excellent,Engine: 4-Cyl 2.4 Liter,8 Speed Automatic,2.4 Sedan,Premium Passenger Car,206@6800,23 City /  33 Hwy,
2018 Acura ILX,"$28,100 ",Average,Engine: 4-Cyl 2.4 Liter,8 Speed Automatic,Base Sedan,Compact Passenger Car,201@6800,25 City /  35 Hwy,
2018 Acura RLX,"$54,900 ",Average,Engine: V6 3.5 Liter,Sequential SportShift 10 Speed Automatic Mode Select with Manual Mode,P-AWS Sedan,Luxury Passenger Car,310@6500,20 City /  29 Hwy,
2018 Alfa Romeo Stelvio,"$41,995 ",Below Average,Engine: 4-Cyl Turbo 2.0 Liter,8 Speed Automatic Mode Select with Manual Mode (8HP50),Base,Premium Compact Utility,280@5200,22 City /  28 Hwy,
2018 Alfa Romeo 4C,"$65,900 ",Average,Engine: 4-Cyl Turbo 1.7 Liter,6 Speed Automatic (DA5),Spider,Premium Performance Car,237@6000,24 City /  34 Hwy,
2018 Alfa Romeo Giulia,"$38,195 ",Average,Engine: 4-Cyl Turbo 2.0 Liter,8 Speed Automatic with Manual Mode (8HP50),Base Sedan,Premium Compact Passenger Car,280@5200,24 City /  33 Hwy,
2018 Aston Martin Vanquish,N/A,N/A,N/A,N/A,Base Coupe,N/A,N/A,N/A,Coupe
2018 Aston Martin DB11,N/A,N/A,N/A,N/A,Base Coupe,N/A,N/A,N/A,Coupe
2018 Audi S8,"$115,900 ",Poor,Engine: V8 Turbo 4.0 Liter TFSI®,Tiptronic® 8 Speed Automatic Mode Select with Manual Mode,plus quattro Sedan,Luxury Performance Car,605,14 City /  24 Hwy,
2018 Audi S7,"$81,200 ",Below Average,Engine: V8 Turbo 4.0 Liter,S tronic 7 Speed Automatic,Premium Plus quattro Hatchback,Luxury Performance Car,450@5800,16 City /  24 Hwy,
2018 Audi TT,"$43,950 ",Below Average,Engine: 4-Cyl Turbo 2.0 Liter,S tronic 6 Speed Automatic,quattro Coupe,Premium Sporty/Coupe,220@4500,23 City /  30 Hwy,
2018 Audi A7,"$69,700 ",Average,Engine: V6 Supercharged 3.0 Liter,Tiptronic 8 Speed Automatic Mode Select with Manual Mode,3.0T Premium Plus quattro Hatchback,Luxury Passenger Car,340@5300,20 City /  29 Hwy,
2018 Audi S3,"$43,650 ",Below Average,Engine: 4-Cyl Turbo 2.0 Liter TFSI®,S tronic® 6 Speed Automatic,Premium Plus quattro Sedan,Premium Performance Car,292@5400,22 City /  28 Hwy,
2018 Audi A6,"$49,700 ",Excellent,Engine: 4-Cyl Turbo 2.0 Liter,S tronic® 7 Speed Automatic (G),2.0T Premium Sedan,Luxury Passenger Car,252@5000,25 City /  34 Hwy,
2018 Audi Q5,"$41,500 ",Above Average,Engine: 4-Cyl Turbo 2.0 Liter,S tronic® 7 Speed Automatic,2.0T Premium quattro,Premium Compact Utility,252@5000,23 City /  27 Hwy,
2018 Audi allroad,"$44,500 ",Average,Engine: 4-Cyl Turbo 2.0 Liter,S tronic® 7 Speed Automatic Mode Select,2.0T Premium quattro Wagon,Premium Compact Utility,252@5000,22 City /  30 Hwy,
2018 Audi A8,"$82,500 ",Poor,Engine: V6 Supercharged 3.0 Liter TFSI®,Tiptronic® 8 Speed Automatic Mode Select with Manual Mode,L 3.0T quattro Sedan,Luxury Passenger Car,333@5300,19 City /  29 Hwy,
2018 Audi A4,"$36,000 ",Excellent,Engine: 4-Cyl Turbo 2.0 Liter,S tronic® 7 Speed Automatic,2.0T ultra Premium Sedan,Premium Compact Passenger Car,190@4200,27 City /  37 Hwy,
2018 Audi Q3,"$32,900 ",Above Average,Engine: 4-Cyl Turbo 2.0 Liter,Tiptronic® 6 Speed Automatic Mode Select with Manual Mode (X),2.0T Premium,Premium Compact Utility,200@5100,20 City /  28 Hwy,
2018 Audi A5,"$42,600 ",Excellent,Engine: 4-Cyl Turbo 2.0 Liter TFSI®,S tronic® 7 Speed Automatic,2.0T Premium quattro Sportback,Luxury Passenger Car,252@5000,24 City /  34 Hwy,
2018 Audi Q7,"$49,900 ",Above Average,Engine: 4-Cyl Turbo 2.0 Liter TFSI®,Tiptronic® 8 Speed Automatic Mode Select with Manual Mode,2.0T Premium quattro,Luxury Utility,252@5000,20 City /  25 Hwy,
2018 Audi RS 7,"$113,900 ",Below Average,Engine: V8 Turbo 4.0 Liter,Tiptronic 8 Speed Automatic Mode Select with Manual Mode,Prestige quattro Hatchback,Luxury Performance Car,560@5700,14 City /  24 Hwy,
2018 Audi R8,"$164,900 ",Below Average,Engine: V10 5.2 Liter,S tronic® 7 Speed Automatic,5.2 (Auto) Coupe,Luxury Performance Car,540@7800,14 City /  22 Hwy,
2018 Audi S5,"$54,400 ",Below Average,Engine: V6 Turbo 3.0 Liter TFSI®,Tiptronic® 8 Speed Automatic with Manual Mode,Premium Plus quattro Sportback,Premium Performance Car,354@5400,21 City /  30 Hwy,
2018 Audi A3,"$31,950 ",Above Average,Engine: 4-Cyl Turbo 2.0 Liter TFSI®,S tronic® 7 Speed Automatic,2.0T Premium Sedan,Premium Compact Passenger Car,186@4400,26 City /  35 Hwy,
2018 Audi S4,"$50,900 ",Above Average,Engine: V6 Turbo 3.0 Liter,Tiptronic® 8 Speed Automatic with Manual Mode,Premium Plus quattro Sedan,Premium Performance Car,354@5400,21 City /  30 Hwy,
2018 Audi S6,"$71,900 ",Poor,Engine: V8 Turbo 4.0 Liter,S tronic® 7 Speed Automatic (Y),Premium Plus quattro Sedan,Premium Performance Car,450@5800,16 City /  24 Hwy,
2018 Audi SQ5,"$54,300 ",Below Average,Engine: V6 Turbo 3.0 Liter,Tiptronic® 8 Speed Automatic Mode Select with Manual Mode (A),Premium Plus quattro,Premium Compact Utility,354@5400,19 City /  24 Hwy,
2018 Audi RS 3,"$54,900 ",Poor,Engine: 5-Cyl Turbo 2.5 Liter TFSI®,S tronic® 7 Speed Automatic,Base quattro Sedan,Premium Performance Car,400@5850,19 City /  28 Hwy,
2018 Bentley Continental GT,"$264,300 ",N/A,Engine: W12 Turbo Flex Fuel 6.0 Liter,8 Speed Automatic with Manual Mode (8HP90),Speed Convertible,Luxury Performance Car,633@6000,9 City /  15 Hwy,
2018 Bentley Bentayga,"$232,800 ",N/A,Engine: W12 Turbo 6.0 Liter,8 Speed Automatic with Manual Mode (ZF AL952),W12,Luxury Utility,599@5000,12 City /  19 Hwy,
2018 Bentley Mulsanne,N/A,N/A,N/A,N/A,Base Sedan,N/A,N/A,N/A,Sedan
2018 Bentley Flying Spur,"$189,000 ",N/A,Engine: V8 Turbo 4.0 Liter,8 Speed Automatic Mode Select with Manual Mode (8HP90),V8 Sedan,Luxury Passenger Car,500@6000,13 City /  22 Hwy,
2018 BMW 7-Series,"$83,100 ",Below Average,Engine: 6-Cyl Turbo 3.0 Liter,Steptronic 8 Speed Automatic Mode Select with Manual Mode (8HP50),740i Sedan,Luxury Passenger Car,320@5500,21 City /  29 Hwy,
2018 BMW M5,"$102,600 ",N/A,Engine: V8 Turbo 4.4 Liter,Steptronic 8 Speed Automatic with Manual Mode (M8HP75),Base Sedan,Luxury Performance Car,600@5700,N/A,Sedan
2018 BMW 4-Series,"$43,300 ",Excellent,Engine: 4-Cyl Turbo 2.0 Liter,8 Speed Automatic Mode Select with Manual Mode (8HP50),430i Gran Coupe,Premium Compact Passenger Car,248@5200,24 City /  34 Hwy,
2018 BMW X4,"$47,600 ",Average,Engine: 4-Cyl Turbo 2.0 Liter,Steptronic 8 Speed Automatic Mode Select with Manual Mode (8HP45),xDrive28i,Premium Compact Utility,240@5000,20 City /  28 Hwy,
2018 BMW X5,"$57,200 ",Above Average,Engine: 6-Cyl Turbo 3.0 Liter,Steptronic 8 Speed Automatic Mode Select with Manual Mode (8HP45),sDrive35i,Luxury Utility,300@5800,18 City /  25 Hwy,
2018 BMW X6,"$62,950 ",Below Average,Engine: 6-Cyl Turbo 3.0 Liter,Steptronic 8 Speed Automatic Mode Select with Manual Mode (8HP45),sDrive35i,Luxury Utility,300@5800,18 City /  25 Hwy,
2018 BMW X1,"$33,900 ",Excellent,Engine: 4-Cyl Turbo 2.0 Liter,Steptronic 8 Speed Automatic Mode Select with Manual Mode (AISIN F22),sDrive28i,Premium Compact Utility,228@5000,23 City /  32 Hwy,
2018 BMW X2,"$36,400 ",N/A,Engine: 4-Cyl Turbo 2.0 Liter,Steptronic 8 Speed Automatic Mode Select with Manual Mode,sDrive28i,Premium Compact Utility,228@5000,21 City /  31 Hwy,
2018 BMW M4,"$68,700 ",Average,Engine: 6-Cyl Turbo 3.0 Liter,6 Speed Manual (K),Base Coupe,Premium Performance Car,425@5500,17 City /  25 Hwy,
2018 BMW M3,"$66,500 ",Average,Engine: 6-Cyl Turbo 3.0 Liter,6 Speed Manual (K),Base Sedan,Premium Performance Car,425@5500,17 City /  25 Hwy,
2018 BMW 5-Series,"$52,650 ",Excellent,Engine: 4-Cyl Turbo 2.0 Liter,Steptronic 8 Speed Automatic Mode Select with Manual Mode (8HP50),530i Sedan,Luxury Passenger Car,248@5200,24 City /  34 Hwy,
2018 BMW M6,"$119,800 ",Poor,Engine: V8 Turbo 4.4 Liter,7 Speed Automatic (M-DKG 436),Base Gran Coupe,Luxury Performance Car,560@6000,15 City /  22 Hwy,
